date,disp
2015-01-01 00:00:00,10.668000000000001
2015-01-01 01:00:00,10.477
2015-01-01 02:00:00,10.123
2015-01-01 03:00:00,9.897
2015-01-01 04:00:00,9.697000000000001
2015-01-01 05:00:00,9.784
2015-01-01 06:00:00,9.885
2015-01-01 07:00:00,9.856
2015-01-01 08:00:00,9.972
2015-01-01 09:00:00,9.955
2015-01-01 10:00:00,10.188
2015-01-01 11:00:00,10.425
2015-01-01 12:00:00,10.511000000000001
2015-01-01 13:00:00,10.511000000000001
2015-01-01 14:00:00,10.96
2015-01-01 15:00:00,11.987
2015-01-01 16:00:00,13.154
2015-01-01 17:00:00,13.267
2015-01-01 18:00:00,12.704
2015-01-01 19:00:00,12.023
2015-01-01 20:00:00,11.492
2015-01-01 21:00:00,10.81
2015-01-01 22:00:00,10.387
2015-01-01 23:00:00,9.997
2015-01-02 00:00:00,13.651
2015-01-02 01:00:00,12.725
2015-01-02 02:00:00,12.061
2015-01-02 03:00:00,11.692
2015-01-02 04:00:00,11.735
2015-01-02 05:00:00,11.809000000000001
2015-01-02 06:00:00,12.233
2015-01-02 07:00:00,13.169
2015-01-02 08:00:00,14.743
2015-01-02 09:00:00,16.415
2015-01-02 10:00:00,17.249
2015-01-02 11:00:00,17.255
2015-01-02 12:00:00,16.835
2015-01-02 13:00:00,16.183
2015-01-02 14:00:00,16.125
2015-01-02 15:00:00,16.91
2015-01-02 16:00:00,18.591
2015-01-02 17:00:00,19.658
2015-01-02 18:00:00,19.739
2015-01-02 19:00:00,19.481
2015-01-02 20:00:00,17.873
2015-01-02 21:00:00,16.89
2015-01-02 22:00:00,16.045
2015-01-02 23:00:00,14.33
2015-01-03 00:00:00,9.599
2015-01-03 01:00:00,9.211
2015-01-03 02:00:00,9.259
2015-01-03 03:00:00,9.228
2015-01-03 04:00:00,8.763
2015-01-03 05:00:00,8.379
2015-01-03 06:00:00,8.382
2015-01-03 07:00:00,8.999
2015-01-03 08:00:00,10.084
2015-01-03 09:00:00,11.667
2015-01-03 10:00:00,12.257
2015-01-03 11:00:00,12.427
2015-01-03 12:00:00,11.923
