"Week","Stored Energy Value 2015 [MWh] - Sweden (SE)","Stored Energy Value 2016 [MWh] - Sweden (SE)","Stored Energy Value 2017 [MWh] - Sweden (SE)","Stored Energy Value 2018 [MWh] - Sweden (SE)"
"Week 1","19854000","22522000","17222000","21437000"
"Week 2","19180000","21203000","16533000","20281000"
"Week 3","18458000","19811000","15735000","19159000"
"Week 4","17283000","18956000","15049000","18222000"
"Week 5","16448000","17939000","14159000","17152000"
"Week 6","15350000","16813000","13006000","15843000"
"Week 7","14769000","15513000","12132000","14554000"
"Week 8","13946000","14183000","11406000","13221000"
"Week 9","13062000","12875000","10534000","11769000"
"Week 10","12118000","11665000","9540000","10493000"
"Week 11","11178000","10836000","8862000","9294000"
"Week 12","10133000","10001000","8156000","8229000"
"Week 13","9256000","9326000","7636000","7181000"
"Week 14","8432000","8976000","7398000","6380000"
"Week 15","7944000","8566000","7188000","5705000"
"Week 16","7650000","8241000","6838000","5672000"
"Week 17","7991000","8180000","6373000","6763000"
"Week 18","8165000","9424000","6615000","8490000"
"Week 19","9568000","11416000","6873000","13115000"
"Week 20","11564000","12671000","8474000","17462000"
"Week 21","13216000","15548000","11123000","19281000"
"Week 22","15687000","17763000","12696000","20367000"
"Week 23","18867000","18310000","15186000","20494000"
"Week 24","20434000","18748000","18185000","20739000"
"Week 25","21232000","19417000","20285000","21620000"
"Week 26","23010000","20321000","21751000","21680000"
"Week 27","24601000","20916000","22576000","21524000"
"Week 28","26647000","21301000","24418000","21322000"
"Week 29","27690000","21271000","25453000","21356000"
"Week 30","28659000","21423000","26000000","21390000"
"Week 31","30191000","21880000","26679000","21523000"
"Week 32","30449000","22403000","26900000","21708000"
"Week 33","30435000","22456000","27290000","21911000"
"Week 34","30033000","22647000","27348000","22126000"
"Week 35","30003000","23003000","27241000","21985000"
"Week 36","29785000","23302000","26887000","21547000"
"Week 37","29093000","23383000","27346000","21442000"
"Week 38","29515000","23086000","27182000","21938000"
"Week 39","30044000","N/A","26797000","22871000"
"Week 40","30694000","22990000","27180000","23176000"
"Week 41","30341000","22360000","27269000","23564000"
"Week 42","29741000","21783000","27470000","23965000"
"Week 43","29323000","21278000","27397000","23955000"
"Week 44","28725000","20689000","27244000","23740000"
"Week 45","28638000","19715000","26900000","23524000"
"Week 46","28218000","19390000","26302000","23795000"
"Week 47","27372000","19180000","25651000","23080000"
"Week 48","26620000","18694000","24901000","22211000"
"Week 49","26130000","18459000","24360000","21649000"
"Week 50","25381000","17102000","23368000","20619000"
"Week 51","24619000","17801000","22745000","19461000"
"Week 52","24625000","17924000","22188000","18662000"
"Week 53","23841000","","",""
